ge_ect	ge_end	ge_mes	gene_type
-3.28	-7.35	-9.21	DifEct
-2.14	-5.27	-6.72	DifEct
-3.35	-7.35	-4.81	DifEct
-5.16	-7.84	-9.7	DifEct
-4.46	-7.83	-6.96	DifEct
-1.46	-5.94	-4.93	DifEct
-4.26	-8.36	-10.22	DifEct
-2.64	-8.13	-5.09	DifEct
-3.1	-6.48	-4.73	DifEct
-3.78	-7.66	-6.05	DifEct
-2.59	-7.49	-9.35	DifEct
-5.32	-7.8	-9.66	DifEct
-6.31	-8.98	-10.85	DifEct
-4.25	-7.45	-9.31	DifEct
-1.98	-6.27	-7.98	DifEct
-2.92	-5.68	-6.39	DifEct
-3.51	-8.27	-10.13	DifEct
0.3	-6.22	-5.56	DifEct
-1.47	-6.63	-3.17	DifEct
-1.68	-6.11	-4.02	DifEct
1.01	-2.29	-0.47	DifEct
-1.39	-6	-7.86	DifEct
4.81	-1.96	-0.1	DifEct
-1.18	-6.52	-8.39	DifEct
-3.5	-7.46	-6.85	DifEct
2.46	-3.34	1.05	DifEct
-0.5	-7.26	-1.91	DifEct
-0.4	-3.79	-5.88	DifEct
-1.96	-7.57	-3.77	DifEct
1.33	-2.21	-1.11	DifEct
1.11	-3.78	-2.25	DifEct
-3.79	-8.42	-8.55	DifEct
-4.54	-7.02	-6.42	DifEct
-4.41	-7.25	-9.11	DifEct
-4.04	-6.71	-8.58	DifEct
0.24	-5.12	-8.99	DifEct
-4.88	-8.08	-6.63	DifEct
-2.75	-7.71	-9.58	DifEct
-2.79	-7.32	-9.19	DifEct
-4.09	-7.08	-8.95	DifEct
2.82	0.32	-0.19	DifEct
-1.65	-5.91	-7.78	DifEct
-4.27	-7.26	-5.97	DifEct
-1.44	-4.38	-3.71	DifEct
-4.19	-7.19	-6.1	DifEct
-2.89	-5.48	-6.02	DifEct
-0.06	-6.44	-3.76	DifEct
0.6	-6.6	-1.35	DifEct
-1.32	-5.32	-5.77	DifEct
-3.5	-6.35	-8.21	DifEct
2.37	-3.95	-0.89	DifEct
0.04	-6.9	-3.04	DifEct
-5.02	-8.65	-7.37	DifEct
0.25	-3.09	-3.43	DifEct
1.14	-1.8	-4.54	DifEct
-2.51	-6.83	-8.69	DifEct
-0.6	-4.44	-9.63	DifEct
-2.21	-6.09	-7.95	DifEct
-2.07	-6.32	-8.19	DifEct
-3.59	-8.15	-5.4	DifEct
1.74	-1.11	-1.18	DifEct
-4.78	-8.16	-7.03	DifEct
-4.5	-7.98	-10	DifEct
-1.24	-3.8	-5.45	DifEct
-1.2	-6.09	-3.16	DifEct
-1.94	-5.13	-3.39	DifEct
-2.94	-7.62	-5.87	DifEct
