GE	layer
6.37	End
6.35	End
4.95	End
6.13	End
5.78	End
4.7	End
10.06	End
5.59	End
1.43	End
5.67	End
2.56	End
5.78	End
6.83	End
4.37	End
4.57	End
7.17	End
3.28	End
5.76	End
5.02	End
4.1	End
8.56	End
4.87	End
4.62	End
5.22	End
7.46	End
5.04	End
4.79	End
4.11	End
4.55	End
7.35	End
7.31	End
8.15	End
5.74	End
9.18	End
5.25	End
5.65	End
7.89	End
2.57	End
2.81	End
5.98	End
8.58	End
4.67	End
5.81	End
5.28	End
7.05	End
5.65	End
5.94	End
7.18	End
8.28	End
4.25	End
6.56	End
5	End
2.82	End
8.97	End
2.42	End
5.79	End
3.87	End
-5.32	End
2.77	End
8.53	End
6.3	End
3.2	End
5.72	End
6.14	End
6.23	End
2.29	End
4.47	End
5.62	End
6.23	End
7.79	End
7.37	End
5.57	End
5.88	End
4.8	End
6.57	End
7.03	End
6.22	End
6.27	End
5.69	End
7.98	End
8.37	End
5.97	End
5.05	End
6.92	End
10.46	End
4.78	End
4.11	End
7.01	End
6.41	End
5.92	End
10.05	End
6.19	End
7.68	End
4.71	End
6.98	End
8.38	End
6.72	End
11.77	End
4.85	End
5.13	End
8.13	End
4.14	End
6.22	End
6.01	End
6.77	End
6.61	End
6.93	End
7.71	End
6.43	End
8.74	End
4.47	End
5.48	End
8.39	End
9.31	End
5.13	End
8.13	End
9.97	End
6.59	End
7.15	End
7.92	End
6.25	End
2.16	End
7.66	End
5.34	End
5.34	End
3.52	End
7.46	End
9.01	End
3.49	End
4.49	End
4.76	End
5.92	End
5.61	End
5.89	End
8.99	End
2.93	End
8.35	End
3.18	End
4.82	End
8.25	End
7.88	End
9.87	End
8.89	End
5.53	End
3.7	End
6.45	End
5.19	End
4.5	End
8.95	End
5.79	End
8	End
7.58	End
4.89	End
3.99	End
4.44	End
8.49	End
7.74	End
7.14	End
4.67	End
4.62	End
8.52	End
7.72	End
7.47	End
6.7	End
3.49	End
7.08	End
5.53	End
6.12	End
6.17	End
6.28	End
7.37	End
3.29	End
5.11	End
5.68	End
3.48	End
3.22	End
4.72	End
7.49	End
2.71	End
5	End
5.06	End
8.98	End
2.01	End
6.34	End
3.38	End
3.01	End
8.06	End
3.01	End
4.28	End
5.02	End
4.4	End
5.65	End
1.93	End
7.15	End
9.45	End
5.55	End
4.18	End
5.21	End
4.6	End
5.79	End
8.98	End
11.06	End
7.85	End
8.39	End
5.71	End
4.65	End
6.18	End
4.78	End
6.39	End
5.87	End
8.48	End
3.99	End
5.21	End
6.93	End
6.97	End
7.42	End
4	End
5.16	End
3.12	End
6.86	End
5.96	End
1.89	End
11.75	End
2.05	End
4.77	End
7.52	End
8.21	End
4.98	End
7.17	End
10.7	End
2.17	End
6.75	End
5.1	End
5.75	End
6.64	End
7.04	End
9.19	End
7.78	End
3.66	End
3.12	End
5.45	End
4.2	End
4.73	End
4.1	End
3.32	End
8.97	End
10	End
7.12	End
7.4	End
7.55	End
3.88	End
5.88	End
7.1	End
7.2	End
3.84	End
11.25	End
6.65	End
3.91	End
5.2	End
7.43	End
4.79	End
6.76	End
3.44	End
6.47	End
9.1	End
7.64	End
10.04	End
6.9	End
5.71	End
7.62	End
2.52	End
2.38	End
8.35	End
4.85	End
7.94	End
3.47	End
7.43	End
10.02	End
5.48	End
6.53	End
6.27	End
8.37	End
3.09	End
6.91	End
6.38	End
9.79	End
5.77	End
5.79	End
5.21	End
11.62	End
7.62	End
10.27	End
7.91	End
2.58	End
8	End
10.4	End
5.61	End
3.9	End
9.56	End
5.09	End
8.11	End
2.29	End
8.55	End
6.27	End
1.96	End
6.61	End
8.09	End
6.54	End
10.62	End
6.94	End
4.51	End
6.09	End
4.9	End
4.38	End
3.4	End
5.57	End
5.19	End
5.75	End
3.85	End
4.41	End
6.83	End
2.58	End
4.36	End
3.75	End
6.47	End
8.93	End
8.09	End
2.97	End
5.99	End
4.69	End
7.42	End
5.67	End
6.64	End
4.44	End
6.54	End
6.05	End
3.67	End
6.96	End
3.57	End
4.28	End
8.64	End
7.63	End
7.79	End
3.77	End
6.76	End
9.84	End
2.62	End
7.58	End
5.24	End
1.98	End
5.91	End
8.39	End
6.27	End
4.78	End
7.09	End
5.03	End
5.02	End
7.82	End
7.61	End
10.11	End
4.56	End
8.98	End
5.11	End
3.37	End
6.73	End
8.06	End
5.65	End
6.59	End
5.47	End
6.85	End
7.67	End
5.58	End
3.82	End
8.96	End
4.16	End
7.31	End
6.9	End
10.1	End
5.62	End
7.14	End
-8.25	End
5.34	End
7.96	End
7.94	End
4.96	End
3.57	End
4.56	End
5.43	End
3.49	End
7.87	End
9.16	End
9.87	End
11.33	End
4.65	End
7.35	End
10.06	End
4.81	End
2.25	End
9.86	End
7.67	End
10.46	End
9.19	End
2.74	End
7.26	End
2.99	End
7.13	End
8.4	End
3.64	End
6.99	End
8.92	End
7.47	End
9.27	End
5.24	End
3.27	End
3.59	End
9.22	End
9.95	End
4.27	End
7.92	End
5.56	End
