v	layers
4.68	Ect
-2.02	Ect
-1.43	Ect
0.39	Ect
1.62	Ect
-1.97	Ect
2.82	Ect
2.25	Ect
-2.46	Ect
-2.78	Ect
2.5	Ect
0.27	Ect
-1.79	Ect
-0.14	Ect
2.59	Ect
0.33	Ect
7.42	Ect
2.26	Ect
-2.27	Ect
-1.22	Ect
-0.7	Ect
1.26	Ect
2.71	Ect
-4.29	Ect
-1.6	Ect
2.62	Ect
2.97	Ect
3.57	Ect
8.16	Ect
3.33	Ect
3.41	Ect
5.07	Ect
-2.2	Ect
-4	Ect
-9.4	Ect
-9.71	Ect
1.81	Ect
4.03	Ect
-0.03	Ect
-0.29	Ect
-0.1	Ect
0.09	Ect
-9.07	Ect
7.02	Ect
-4.11	Ect
-5.74	Ect
3.21	Ect
3.5	Ect
-3.87	Ect
3.78	Ect
1.62	Ect
1.15	Ect
2.1	Ect
2.45	Ect
3.25	Ect
-0.64	Ect
0.29	Ect
-1.06	Ect
-4.66	Ect
2.35	Ect
8.1	Ect
-9.15	Ect
4.38	Ect
1.49	Ect
5.82	Ect
9.28	Ect
5.29	Ect
1.2	Ect
1.02	Ect
4.24	Ect
-6.27	Ect
-3.47	Ect
-8.05	Ect
0.97	Ect
0.69	Ect
1.74	Ect
4.22	Ect
-1.57	Ect
1.56	Ect
2.83	Ect
0.63	Ect
1.28	Ect
5.52	Ect
2.92	Ect
-6.91	Ect
1.32	Ect
-2.16	Ect
-2.48	Ect
4.86	Ect
-2.34	Ect
2.95	Ect
-2.37	Ect
2.05	Ect
1.75	Ect
5.77	Ect
4.56	Ect
0.23	Ect
1.23	Ect
-2.23	Ect
3.92	Ect
-3.38	Ect
-9.67	Ect
-5.74	Ect
-1.44	Ect
-7.73	Ect
-5.54	Ect
2.37	Ect
-1.03	Ect
-1.32	Ect
0.62	Ect
0.21	Ect
2.79	Ect
3.99	Ect
1.13	Ect
-2.3	Ect
-9.9	Ect
2.92	Ect
1.53	Ect
7.09	Ect
-3.64	Ect
-6.43	Ect
-3.6	Ect
-7.64	Ect
-5.02	Ect
-10.09	Ect
2.48	Ect
-3.95	Ect
1.52	Ect
-2.79	Ect
-2.45	Ect
-9.18	Ect
-2.55	Ect
-2.51	Ect
-1.61	Ect
1.59	Ect
-1.77	Ect
-6.64	Ect
-5.14	Ect
-4.47	Ect
-0.34	Ect
1.94	Ect
0.8	Ect
-5.24	Ect
5.56	Ect
-8.05	Ect
-9.28	Ect
-9.16	Ect
0.76	Ect
3.29	Ect
-2.3	Ect
1.91	Ect
5.14	Ect
0.81	Ect
2.59	Ect
2.67	Ect
8.06	Ect
4.66	Ect
0.59	Ect
-9.73	Ect
3.35	Ect
-2.32	Ect
-3.64	Ect
4.31	Ect
2.6	Ect
1.2	Ect
3.02	Ect
-3.45	Ect
3.18	Ect
0.13	Ect
7.88	Ect
1.83	Ect
-9.5	Ect
-5.43	Ect
1.84	Ect
2.95	Ect
-9.8	Ect
-0.21	Ect
6.31	Ect
3.97	Ect
5.87	Ect
-1.01	Ect
2.02	Ect
1.19	Ect
-2.78	Ect
-0.66	Ect
-6.46	Ect
1.02	Ect
3.1	Ect
6.72	Ect
1.91	Ect
-9.23	Ect
-3.18	Ect
-8.45	Ect
-9.35	Ect
-8.47	Ect
-8.19	Ect
-8.52	Ect
-7.86	Ect
-0.22	Ect
5.37	Ect
2.55	Ect
3.44	Ect
2.43	Ect
2.41	Ect
-4.68	Ect
2.36	Ect
-9.45	Ect
1.33	Ect
2.99	Ect
-1.92	Ect
4.99	Ect
-3.78	Ect
-0.99	Ect
2.91	Ect
-8.57	Ect
-10.62	Ect
1.63	Ect
-3.72	Ect
2.72	Ect
5.92	Ect
-2.1	Ect
-2.51	Ect
-3.36	Ect
-0.52	Ect
-6.13	Ect
-4.14	Ect
-2.77	Ect
4.52	Ect
4.17	Ect
4.05	Ect
2.6	Ect
4.71	Ect
-9.46	Ect
-7.15	Ect
6.25	Ect
-0.93	Ect
1.75	Ect
-6.48	Ect
-2.84	Ect
-1.5	Ect
2.61	Ect
-3.81	Ect
8.9	Ect
6.23	Ect
4.76	Ect
2.53	Ect
4.7	Ect
-3.98	Ect
-0.14	Ect
-1.36	Ect
-7.88	Ect
6.73	Ect
1.82	Ect
-0.48	Ect
0.43	Ect
-6.81	Ect
-6.99	Ect
-0.2	Ect
6.85	Ect
0.39	Ect
2.13	Ect
-0.03	Ect
-8.16	Ect
-8.12	Ect
-1.61	Ect
3.53	Ect
3.78	Ect
-5.12	Ect
5.82	Ect
-1.09	Ect
5.21	Ect
3.73	Ect
5.31	Ect
-1.72	Ect
6.91	Ect
-0.36	Ect
-2.54	Ect
-9.12	Ect
-2.54	Ect
-1.98	Ect
3.18	Ect
1.7	Ect
1.44	Ect
3.95	Ect
1.5	Ect
4.39	Ect
-3.98	Ect
2.1	Ect
3.01	Ect
2.32	Ect
2.26	Ect
1.28	Ect
-7.38	Ect
7.8	Ect
0.65	Ect
-2.03	Ect
0.76	Ect
0.63	Ect
2.66	Ect
0.65	Ect
1.87	Ect
1	Ect
1.35	Ect
1.17	Ect
-2.98	Ect
3.02	Ect
-0.38	Ect
-2.18	Ect
-4.48	Ect
2.51	Ect
-4.81	Ect
-8.55	Ect
