GE	layer
-6.48	End
-9.52	End
-3.02	End
-8.1	End
-8.96	End
-7.8	End
-5.67	End
-6.63	End
-7.6	End
-4.71	End
-7.58	End
-6.78	End
-2.61	End
-6.22	End
-5.89	End
-3.75	End
-8.03	End
-6.91	End
0.22	End
-9.36	End
-3.88	End
-3.51	End
-8.44	End
-1.3	End
-8.95	End
-8.45	End
-7.7	End
-8.63	End
-8.55	End
-1.59	End
-6.21	End
-6.86	End
-7.92	End
-3.3	End
-6.99	End
-6.37	End
-7.17	End
-7.26	End
-5.52	End
-7.18	End
-7.59	End
-5.53	End
-8.01	End
-7.83	End
-6.76	End
-7.1	End
-6.9	End
-8.06	End
-7.49	End
-6.49	End
-5.82	End
-8.49	End
-6.95	End
-5.41	End
-8.26	End
-7.58	End
-7.88	End
-6.49	End
-4.66	End
-2.31	End
-5.65	End
-7.86	End
-8.15	End
-6.22	End
-8.23	End
-7.17	End
-5.13	End
-7.29	End
-7.31	End
-7.85	End
-6.76	End
-7.09	End
-7.56	End
-7.75	End
-5.64	End
-8.06	End
-3.32	End
-3.78	End
-5.04	End
-7.09	End
-8.05	End
-8.13	End
-7.92	End
-7.49	End
-7.4	End
-7.12	End
-6.26	End
0.18	End
-7.77	End
-7.59	End
-6.27	End
-8.33	End
-8.26	End
-7.61	End
-6.34	End
-5.91	End
-2.83	End
-6.9	End
-8.84	End
-7.21	End
-7.03	End
-6.22	End
-7.79	End
-6.63	End
-4.5	End
-7.09	End
-5.64	End
-7.99	End
-3.26	End
-7.53	End
-6.26	End
-8.26	End
-8.48	End
-5.75	End
-5.3	End
-6.88	End
-8.43	End
-6.8	End
-6.62	End
-7.25	End
-3.49	End
-5.58	End
-7.06	End
-6.39	End
-8.06	End
-7.17	End
-3.9	End
-5.99	End
-9.38	End
-7.34	End
-6.68	End
-7.83	End
-8.08	End
-5.18	End
-6.97	End
-2.32	End
-4.37	End
-6.22	End
-8.18	End
-7.62	End
-1.99	End
-4.92	End
-8.27	End
-6.08	End
-6.37	End
-6.67	End
-7.13	End
-9.41	End
-0.14	End
-3.51	End
-5.98	End
-5.94	End
-7.71	End
-6.18	End
-6.85	End
-7.28	End
-6.69	End
-6.78	End
-7.82	End
-3.17	End
-6.07	End
-7.07	End
-3.72	End
-5.56	End
-6.69	End
-5.32	End
-4.3	End
-7.34	End
-7.32	End
-4.22	End
-7.52	End
-7.35	End
-5.27	End
-7.35	End
-7.84	End
-7.83	End
-5.94	End
-8.36	End
-8.13	End
-6.48	End
-7.66	End
-7.49	End
-7.8	End
-8.98	End
-7.45	End
-6.27	End
-5.68	End
-8.27	End
-6.22	End
-6.63	End
-6.11	End
-2.29	End
-6	End
-1.96	End
-6.52	End
-7.46	End
-3.34	End
-7.26	End
-3.79	End
-7.57	End
-2.21	End
-3.78	End
-8.42	End
-7.02	End
-7.25	End
-6.71	End
-5.12	End
-8.08	End
-7.71	End
-7.32	End
-7.08	End
0.32	End
-5.91	End
-7.26	End
-4.38	End
-7.19	End
-5.48	End
-6.44	End
-6.6	End
-5.32	End
-6.35	End
-3.95	End
-6.9	End
-8.65	End
-3.09	End
-1.8	End
-6.83	End
-4.44	End
-6.09	End
-6.32	End
-8.15	End
-1.11	End
-8.16	End
-7.98	End
-3.8	End
-6.09	End
-5.13	End
-7.62	End
-6.1	End
-8	End
-6.33	End
-7.78	End
-6.57	End
-0.79	End
-7.32	End
-7.62	End
-6.55	End
-4.74	End
-7.47	End
-7.52	End
-4.08	End
-8.6	End
-7.24	End
-7.51	End
-5.93	End
-6.95	End
-6.64	End
-6.35	End
-7.38	End
-6.57	End
-8	End
-5.91	End
-7.65	End
-5.09	End
-6.43	End
-6.15	End
-6.26	End
-7.46	End
-6.73	End
-6.05	End
-7.71	End
-5.48	End
-1.5	End
-6.45	End
-6.67	End
-3.44	End
-5.91	End
-8.09	End
-4.85	End
-4.29	End
-6.87	End
-7.74	End
-7.87	End
-7.53	End
-7.95	End
-7.31	End
-8.96	End
-6.54	End
-7.5	End
-4.26	End
-7.11	End
-7.76	End
-7.55	End
-6.34	End
-8.09	End
-10.21	End
-6.88	End
-7.17	End
-7.58	End
-3.27	End
-6.74	End
-7.76	End
-6.14	End
-7.33	End
-5.67	End
-5.81	End
-5.8	End
-7.08	End
-7	End
-7.55	End
-6.4	End
-4.04	End
-7.12	End
-6.99	End
-6.3	End
-7.27	End
-2.49	End
-8.14	End
-7.35	End
-6.57	End
-6.63	End
-7.74	End
-9.06	End
-8.6	End
-7.44	End
-5.93	End
-7.35	End
-3.62	End
-6.66	End
-6.5	End
-2.18	End
4.53	End
-0.16	End
-2.11	End
-6.54	End
-7.52	End
-7.63	End
2.07	End
-8.02	End
-4.44	End
-4.89	End
-8.71	End
-0.59	End
-8.29	End
2.09	End
-6.89	End
-6.44	End
-7.18	End
-8.01	End
-5.39	End
0.99	End
-2.15	End
-7.62	End
-5.81	End
-7.94	End
-2.47	End
-6.8	End
-7.58	End
-6.88	End
-3.91	End
-7.28	End
-6.58	End
-3.91	End
-2.85	End
-7.43	End
-7.8	Mes
-10.23	Mes
-4.84	Mes
-11.29	Mes
-3.62	Mes
-2.61	Mes
-2.14	Mes
-10.11	Mes
-6.83	Mes
-5.68	Mes
-5.11	Mes
-8.29	Mes
-9.37	Mes
-7.48	Mes
-5.79	Mes
-10.27	Mes
-9.32	Mes
-9.23	Mes
-4.87	Mes
-8.92	Mes
-6.73	Mes
-3.78	Mes
-4.23	Mes
-7.05	Mes
-11.1	Mes
-9.62	Mes
-9.13	Mes
-4.81	Mes
-7.51	Mes
-8.99	Mes
-3.3	Mes
-6.14	Mes
-2.68	Mes
-9.1	Mes
-5.23	Mes
-9.78	Mes
-6.76	Mes
-8.08	Mes
-8.59	Mes
-8.25	Mes
-0.89	Mes
-9.23	Mes
-9.5	Mes
-7.77	Mes
-9.54	Mes
-10.26	Mes
-9.94	Mes
-4.25	Mes
-8.91	Mes
-9.07	Mes
-2.52	Mes
-7.64	Mes
-9.22	Mes
-8.48	Mes
-6.93	Mes
-8.58	Mes
-5.37	Mes
-8.9	Mes
-5.52	Mes
-2.29	Mes
-8.07	Mes
-7.61	Mes
-8.88	Mes
-7.71	Mes
-8.17	Mes
-5.15	Mes
-6.41	Mes
-3.68	Mes
-9.06	Mes
-9.42	Mes
-4.09	Mes
-11.46	Mes
-4.88	Mes
-1.28	Mes
-1.76	Mes
-5.42	Mes
-11.04	Mes
-8.9	Mes
-7.57	Mes
-11.86	Mes
-2.61	Mes
-5.95	Mes
-9.51	Mes
-9.73	Mes
-1.47	Mes
-5.11	Mes
-6.95	Mes
-3.4	Mes
-10.71	Mes
-9.4	Mes
-1	Mes
-8.51	Mes
-9.13	Mes
-3.55	Mes
-2.45	Mes
