GE	layer
-5.4	Ect
-8.77	Ect
-9.04	Ect
-7.05	Ect
-9.8	Ect
-1.18	Ect
0.65	Ect
-4.26	Ect
-1.27	Ect
1.63	Ect
-8.24	Ect
-6.88	Ect
-3.2	Ect
3.64	Ect
-7.55	Ect
-2.09	Ect
-8	Ect
-1.77	Ect
-1.3	Ect
-10.1	Ect
-3.18	Ect
-0.04	Ect
-7.53	Ect
-9.54	Ect
-7.82	Ect
-7.73	Ect
-0.85	Ect
-3.22	Ect
-8.13	Ect
1.2	Ect
-5.31	Ect
-10.13	Ect
-8.67	Ect
0.95	Ect
-8.93	Ect
-4.24	Ect
-8.64	Ect
-9.65	Ect
-8.59	Ect
-7.79	Ect
-0.07	Ect
-9.15	Ect
-1.96	Ect
-8.87	Ect
-6.15	Ect
-7.17	Ect
-7.7	Ect
-4.53	Ect
-2.94	Ect
-8.34	Ect
-3.52	Ect
-3.68	Ect
-8.57	Ect
-9.67	Ect
-6.77	Ect
-6.12	Ect
1.66	Ect
-2.74	Ect
-1.4	Ect
-6.8	Ect
-0.34	Ect
-4.16	Ect
-3.76	Ect
-8.24	Ect
-7.45	Ect
-1.42	Ect
-9.45	Ect
-8.67	Ect
-4.18	Ect
-5.47	Ect
-4.95	Ect
-2	Ect
2.21	Ect
-9.23	Ect
-9.15	Ect
-1.17	Ect
0.19	Ect
-4.78	Ect
-6.78	Ect
-8.48	Ect
-9.27	Ect
-9.32	Ect
-9.34	Ect
-1.55	Ect
-10.37	Ect
-9.88	Ect
-6.21	Ect
-10.33	Ect
-7.39	Ect
-2.98	Ect
-7.03	Ect
-7.42	Ect
-4.58	Ect
-3.44	Ect
-2.96	Ect
-3.78	Ect
-7.81	Ect
-7.53	Ect
-3.67	Ect
-5.91	Ect
-7.39	Ect
-9.3	Ect
-10.54	Ect
-5.27	Ect
-7.82	Ect
-2.26	Ect
-1.3	Ect
-9.31	Ect
-7.68	Ect
-7.41	Ect
2.05	Ect
-5.88	Ect
1.15	Ect
-3.25	Ect
0.28	Ect
-4.53	Ect
-8.06	Ect
-7.9	Ect
-4.72	Ect
-1.6	Ect
-1.03	Ect
0.09	Ect
-8.43	Ect
-1.85	Ect
-5.52	Ect
-4.51	Ect
-7.96	Ect
-8.16	Ect
-2.71	Ect
-2.52	Ect
-8.49	Ect
-8.04	Ect
-7.91	Ect
-7.7	Ect
-3.86	Ect
-8.68	Ect
-9.01	Ect
-9.62	Ect
-10.21	Ect
-2.27	Ect
-5.03	Ect
-1.85	Ect
-3.24	Ect
-6.82	Ect
-8.48	Ect
-7.91	Ect
-8.26	Ect
-9.11	Ect
-8.81	Ect
-8.97	Ect
-8.15	Ect
-2.81	Ect
-6.79	Ect
-1.59	Ect
-8.86	Ect
-0.17	Ect
-2.02	Ect
-6.12	Ect
-7.59	Ect
-8.57	Ect
4.23	Ect
-3.92	Ect
-9.65	Ect
-3.16	Ect
-8.71	Ect
-3.78	Ect
-4.5	Ect
-1.59	Ect
-8.53	Ect
-1.91	Ect
-0.86	Ect
-1.47	Ect
-9.05	Ect
-7.37	Ect
-4.06	Ect
-4.54	Ect
-9.18	Ect
-9.57	Ect
-3.07	Ect
-9.68	Ect
-8.8	Ect
-8.36	Ect
-5.45	Ect
-6.13	Ect
-3.42	Ect
-7.5	Ect
-5.59	Ect
-6.37	Ect
-8.45	Ect
-3.72	Ect
-8.71	Ect
-2.89	Ect
-7.67	Ect
-4.4	Ect
-7.7	Ect
-7.41	Ect
-8.99	Ect
-9	Ect
-3.44	Ect
-8.34	Ect
-1.63	Ect
-9.1	Ect
-2.89	Ect
-8.32	Ect
1.43	Ect
-2.19	Ect
-6.57	Ect
-6.82	Ect
-6.67	Ect
-3.75	Ect
-3.3	Ect
-9.33	Ect
-6.65	Ect
-6.16	Ect
-1.15	Ect
-2.31	Ect
-9.13	Ect
-8.59	Ect
-7.4	Ect
-2.02	Ect
-8.92	Ect
-3.12	Ect
-0.8	Ect
-8.72	Ect
-5.89	Ect
-3.59	Ect
-2.72	Ect
-4.17	Ect
-0.63	Ect
